"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"LTS","Ladenburg Thalmann Financial Services Inc","3.27","654927519.15","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/lts",
"LTSL","Ladenburg Thalmann Financial Services Inc","24.6909","0","n/a","2017","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ltsl",
"LSBK","Lake Shore Bancorp, Inc.","16.7836","102343338.1848","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/lsbk",
"LBAI","Lakeland Bancorp, Inc.","19.85","940158448.1","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lbai",
"LKFN","Lakeland Financial Corporation","46.23","1168974738.72","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lkfn",
"LCA","Landcadia Holdings, Inc.","10.04","313750000","n/a","2016","Finance","Business Services","https://www.nasdaq.com/symbol/lca",
"LCAHU","Landcadia Holdings, Inc.","10.77","0","n/a","2016","Finance","Business Services","https://www.nasdaq.com/symbol/lcahu",
"LCAHW","Landcadia Holdings, Inc.","0.735","0","n/a","2016","Finance","Business Services","https://www.nasdaq.com/symbol/lcahw",
"LARK","Landmark Bancorp Inc.","29.15","119639995.2","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lark",
"LAZ","Lazard Ltd.","52.56","6820505742.96","n/a","2005","Finance","Investment Managers","https://www.nasdaq.com/symbol/laz",
"LAZY","Lazydays Holdings, Inc.","10.05","0","n/a","n/a","Finance","Business Services","https://www.nasdaq.com/symbol/lazy",
"LCNB","LCNB Corporation","19","190497857","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lcnb",
"LGC","Legacy Acquisition Corp.","9.59","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lgc",
"LTXB","LegacyTexas Financial Group, Inc.","42.82","2063907343.02","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ltxb",
"LM","Legg Mason, Inc.","40.65","3436562707.2","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/lm",
"LMHA","Legg Mason, Inc.","26.325","0","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/lmha",
"LMHB","Legg Mason, Inc.","24.18","0","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/lmhb",
"JBK","Lehman ABS Corporation","25.5","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/jbk",
"KTH","Lehman ABS Corporation","31.122","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/kth",
"KTN","Lehman ABS Corporation","30.55","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ktn",
"KTP","Lehman ABS Corporation","13.35","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ktp",
"LACQ","Leisure Acquisition Corp.","9.6","240000000","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lacq",
"LACQU","Leisure Acquisition Corp.","9.8974","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lacqu",
"LACQW","Leisure Acquisition Corp.","0.75","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lacqw",
"LEJU","Leju Holdings Limited","1.35","183281348.7","n/a","2014","Finance","Real Estate","https://www.nasdaq.com/symbol/leju",
"TREE","LendingTree, Inc.","328.15","4017787218.8","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/tree",
"LX","LexinFintech Holdings Ltd.","14.5","174000000","12000000","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/lx",
"LNC","Lincoln National Corporation","73.06","15945896456.88","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/lnc",
