company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
PNM,2012,8.075,64621.02,51.1,20.39,13.04,0.25,3.34,6.61,5.29,-21.06,6.38,-40.03,-33.16,nan,23.01,8.23,8.2,69.61,1.02,0.71,1.04,23.78,56.25,15.35,0.36,0.25,0.176011702
POR,2016,4.866666667,74497.901,53.04,17.32,12.64,0.26,3.21,8.39,4.21,1.32,7.77,12.21,5.88,nan,30.37,6.15,7.67,68.86,0.8,0.46,0.94,29.7,45.88,12.29,0.3,0.26,0.051927071
POR,2015,5.266666667,72482.854,51.16,16.28,11.43,0.27,3.19,8.25,3.87,-0.11,5.46,-1.71,-6.42,nan,31.51,7.71,8.67,68.73,0.89,0.41,0.92,29.52,50.01,12.36,0.32,0.27,0.191366511
POR,2014,6.175,69710.435,48.95,15.42,12.37,0.29,3.69,9.38,4.11,4.97,42.23,66.67,61.48,nan,53,9.93,12.4,72.86,0.8,0.42,1.11,28.34,61.9,12.88,0.36,0.29,-0.038593709
POR,2013,7.358333333,66766.067,45.75,11.38,6.91,0.31,3.35,5.92,3,0.28,-31.79,-25.53,-27.81,nan,36.24,9.69,6.44,70.18,1.5,0.91,1.05,30.05,50.36,12.15,0.39,0.31,0.252649007
POR,2012,8.075,64621.02,48.09,16.73,11.3,0.32,3.28,8.32,6.32,-0.44,-2.27,-4.08,-4.1,nan,16.79,10.97,9.19,69.51,1.19,0.5,0.89,29.93,40.71,12.2,0.41,0.32,0.10380117
PPL,2016,4.866666667,74497.901,55.37,41.95,33.32,0.31,1.43,8.33,8.33,-23.39,-13.83,-54.47,-54.47,857,53.23,37.03,12.31,29.89,3.01,2.87,nan,263.89,633.88,1.38,0.68,0.31,-0.091042584
PPL,2015,5.266666667,72482.854,80.95,64.21,50.26,0.43,1.31,18.83,18.8,-13.07,-32.35,-30.62,-30.59,nan,23.62,42.74,9.48,23.43,4.51,4.31,nan,188.8,384.78,1.93,1.03,0.43,-0.002343979
PPL,2014,6.175,69710.435,82.69,60.62,60.46,0.53,1.32,30.68,30.63,18.04,16.75,20.76,20.75,nan,19.37,38.57,9.51,24.41,4.06,3.88,nan,136.65,493.35,2.67,1.33,0.53,0.00856974
PPL,2013,7.358333333,66766.067,82.86,61.29,61.03,0.53,1.45,30.48,30.43,6.83,-2.53,2.91,2.92,nan,21.04,40.32,17.11,31.1,2.36,2.28,nan,161.19,535.8,2.26,1.47,0.53,0.207277917
PPL,2012,8.075,64621.02,80.85,67.25,67.13,0.65,1.35,37.07,37.02,22.96,33.24,30.14,30.15,373,8.47,54.68,12.47,25.9,4.38,4.22,nan,156.01,371.94,2.34,1.91,0.65,0.050993626
