"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BOFIL","BofI Holding, Inc.","25.87","0","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/bofil",
"BOKF","BOK Financial Corporation","98.73","6463731859.56","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bokf",
"BOKFL","BOK Financial Corporation","25.05","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bokfl",
"BOMN","Boston Omaha Corporation","22.4","407330716.8","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/bomn",
"BPFH","Boston Private Financial Holdings, Inc.","14.95","1259599422.9","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bpfh",
"BPFHP","Boston Private Financial Holdings, Inc.","25.3","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bpfhp",
"BPFHW","Boston Private Financial Holdings, Inc.","9.12","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bpfhw",
"BDGE","Bridge Bancorp, Inc.","32.9","650771705.5","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bdge",
"BWB","Bridgewater Bancshares, Inc.","12.95","376254143.3","n/a","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/bwb",
"BHF","Brighthouse Financial, Inc.","50.24","6017400845.44","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/bhf",
"BSA","BrightSphere Investment Group plc","23.63","0","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsa",
"BSIG","BrightSphere Investment Group plc","14.84","1633348112.76","n/a","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsig",
"BYFC","Broadway Financial Corporation","2.08","57137860","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/byfc",
"BPY","Brookfield Property Partners L.P.","18.95","4832714862.45","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/bpy",
"BRKL","Brookline Bancorp, Inc.","16.1","1291658515.7","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/brkl",
"BRO","Brown & Brown, Inc.","25.09","6928353503.24","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/bro",
"BMTC","Bryn Mawr Bank Corporation","43.6","883589185.2","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bmtc",
"BLMT","BSB Bancorp, Inc.","30.85","300782625.7","n/a","2011","Finance","Major Banks","https://www.nasdaq.com/symbol/blmt",
"BY","Byline Bancorp, Inc.","23.14","680409670.72","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/by",
"CFFI","C&F Financial Corporation","52.05","182295599.85","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cffi",
"GYB","CABCO Series 2004-101 Trust","23","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","12.9093","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/pfh",
"CADE","Cadence Bancorporation","26.73","2235296250","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/cade",
"CATC","Cambridge Bancorp","83.1","340841381.1","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/catc",
"CAC","Camden National Corporation","43.89","681915550.47","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cac",
"CM","Canadian Imperial Bank of Commerce","87.27","38787601202.31","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/cm",
"CCBG","Capital City Bank Group","24.62","419496708.58","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ccbg",
"COF","Capital One Financial Corporation","94.72","46049103331.84","n/a","1994","Finance","Major Banks","https://www.nasdaq.com/symbol/cof",
"COF^C","Capital One Financial Corporation","25.89","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cof^c",
"CFFN","Capitol Federal Financial, Inc.","12.35","1707205152.25","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cffn",
"CIC","Capitol Investment Corp. IV","9.69","115582445.97","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cic",
"CSTR","CapStar Financial Holdings, Inc.","17.94","209775182.76","n/a","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/cstr",
"CARO","Carolina Financial Corporation","39.21","825456840.42","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/caro",
"CART","Carolina Trust BancShares, Inc.","9.3202","43441331.0374","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cart",
